Parent Produk,Tipe,Nama Produk,SKU,Satuan
Lakop,FINISHED_GOOD,Lakop Pel Air Merah,LM0000,PCS
Lakop,FINISHED_GOOD,Lakop Pel Air Orange,LO0000,PCS
Rafia,FINISHED_GOOD,Rafia BS,R000000,KG
Rafia,FINISHED_GOOD,Rafia Bening Super,RBS0000,KG
Rafia,FINISHED_GOOD,Rafia Bening Super 0,4 (10),RBS0410,BAL
Rafia,FINISHED_GOOD,Rafia Bening Super 0,75 (6),RBS0760,BAL
Rafia,FINISHED_GOOD,Rafia Bening Super 0,8 (10),RBS0810,BAL
Rafia,FINISHED_GOOD,Rafia Bening Super 0,95 (10),RBS9510,BAL
Rafia,FINISHED_GOOD,Rafia Bening Super 1 (10),RBS1010,BAL
Rafia,FINISHED_GOOD,Rafia Bening Super Jasa,RBJ0000,KG
Rafia,FINISHED_GOOD,Rafia Biru KW,RRK0000,KG
Rafia,FINISHED_GOOD,Rafia Biru KW 0,5 (10),RRK0510,BAL
Rafia,FINISHED_GOOD,Rafia Biru KW 1 (10),RRK0110,BAL
Rafia,FINISHED_GOOD,Rafia Biru KW Super,RRW0000,KG
Rafia,FINISHED_GOOD,Rafia Biru Super,RRS0000,KG
Rafia,FINISHED_GOOD,Rafia Biru Super 0,4 (10),RRS0410,BAL
Rafia,FINISHED_GOOD,Rafia Biru Super 0,7 (6),RRS0760,BAL
Rafia,FINISHED_GOOD,Rafia Biru Super 0,75 (6),RRS7560,BAL
Rafia,FINISHED_GOOD,Rafia Biru Super 0,8 (10),RRS0810,BAL
Rafia,FINISHED_GOOD,Rafia Biru Super 1 (10),RRS1010,BAL
Rafia,FINISHED_GOOD,Rafia Dop KW Super,RDW0000,KG
Rafia,FINISHED_GOOD,Rafia Hijau KW,RJK0000,KG
Rafia,FINISHED_GOOD,Rafia Hijau KW 0,5 (10),RJK0510,BAL
Rafia,FINISHED_GOOD,Rafia Hijau KW 1 (10),RJK0110,BAL
Rafia,FINISHED_GOOD,Rafia Hijau KW Super,RJW0000,KG
Rafia,FINISHED_GOOD,Rafia Hijau Super,RJS0000,KG
Rafia,FINISHED_GOOD,Rafia Hijau Super 0,7 (6),RJS0760,BAL
Rafia,FINISHED_GOOD,Rafia Hijau Super 0,75 (6),RJS7560,BAL
Rafia,FINISHED_GOOD,Rafia Hijau Super 0,8 (10),RJS0810,BAL
Rafia,FINISHED_GOOD,Rafia Hijau Super 0,95 (10),RJS9510,BAL
Rafia,FINISHED_GOOD,Rafia Hijau Super 1 (10),RJS1010,BAL
Rafia,FINISHED_GOOD,Rafia Hijau Super Jasa,RHSJ0000,KG
Rafia,FINISHED_GOOD,Rafia Hijau Tampar,RJT0000,KG
Rafia,FINISHED_GOOD,Rafia Hitam KW,RHK0000,KG
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,1 (10),RHK0110,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,4 (10),RHK0410,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,5 (10),RHK0510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,5 (20),RHK0520,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,65 (10),RHK6510,BAL
