sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction
183,Sedotan Dop Tekuk,SDP00SU6,Kg,,4-110 Penjualan Sedotan Tekuk,BARANG JADI,KG,Sedotan Dop Tekuk,SDP00SU6,KG,Produk FINISHED GOOD Rafia,Sedotan Dop Tekuk,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
184,Sedotan Hijau KW,SJP00KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau KW,SJP00KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau KW,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
185,Sedotan Hijau KW Jasa,SJK00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Hijau KW Jasa,SJK00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau KW Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
186,Sedotan Hijau KW Lubang 7,SJP00KT7,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau KW Lubang 7,SJP00KT7,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau KW Lubang 7,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
187,Sedotan Hijau KW Lurik Dop,SJLD0KT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau KW Lurik Dop,SJLD0KT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau KW Lurik Dop,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
188,"Sedotan Hijau Lancip Lubang 5,5",SJP00WL,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hijau Lancip Lubang 5.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
189,"Sedotan Hijau Lancip Lubang 8,5",SJP00SL8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hijau Lancip Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
190,Sedotan Hijau Lurik Dop Jasa,SJS00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Hijau Lurik Dop Jasa,SJS00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Lurik Dop Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
191,Sedotan Hijau Lurik Dop Lancip Lubang 6,BJ000022,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau Lurik Dop Lancip Lubang 6,BJ000022,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Lurik Dop Lancip Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
192,Sedotan Hijau Lurik Dop Lubang 6,SJLD0ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau Lurik Dop Lubang 6,SJLD0ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Lurik Dop Lubang 6,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
